,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
48,Coverage/Quad,User Created Features - Coverage/Quad,49,3319,"POLYGON Z ((289718.5559713147 5130235.993189946 1178.317749023438, 289722.8700509049 5130235.767098618 1178.058227539063, 289722.4178682428 5130227.138939437 1176.582397460938, 289718.1037886528 5130227.365030767 1177.1064453125, 289718.5559713147 5130235.993189946 1178.317749023438))",30515.0,30001.18620066285,29972.0,29507.0,336.4980262073692
49,Coverage/Quad,User Created Features - Coverage/Quad,50,3310,"POLYGON Z ((289722.8700509049 5130235.767098618 1178.058227539063, 289727.184130495 5130235.541007285 1177.944580078125, 289726.7319478331 5130226.912848104 1176.837280273438, 289722.4178682428 5130227.138939437 1176.582397460938, 289722.8700509049 5130235.767098618 1178.058227539063))",30511.0,30251.08761329305,30327.0,29719.0,212.594464229885
50,Coverage/Quad,User Created Features - Coverage/Quad,51,3318,"POLYGON Z ((289727.184130495 5130235.541007285 1177.944580078125, 289731.4982100851 5130235.314915954 1178.094360351563, 289731.0460274233 5130226.686756773 1178.181884765625, 289726.7319478331 5130226.912848104 1176.837280273438, 289727.184130495 5130235.541007285 1177.944580078125))",30373.0,29912.91531042797,29831.0,29571.0,243.72775378134568
51,Coverage/Quad,User Created Features - Coverage/Quad,52,3319,"POLYGON Z ((289731.4982100851 5130235.314915954 1178.094360351563, 289735.8122896752 5130235.088824623 1178.0400390625, 289735.3601070133 5130226.460665443 1177.125366210938, 289731.0460274233 5130226.686756773 1178.181884765625, 289731.4982100851 5130235.314915954 1178.094360351563))",30398.0,30274.127749322084,30323.0,29946.0,119.69753715935384
52,Coverage/Quad,User Created Features - Coverage/Quad,53,3314,"POLYGON Z ((289735.8122896752 5130235.088824623 1178.0400390625, 289740.1263692654 5130234.862733292 1184.978881835938, 289739.6741866035 5130226.234574112 1185.416625976563, 289735.3601070133 5130226.460665443 1177.125366210938, 289735.8122896752 5130235.088824623 1178.0400390625))",30415.0,29973.51418225709,29934.0,29617.0,238.4998287762967
53,Coverage/Quad,User Created Features - Coverage/Quad,54,3318,"POLYGON Z ((289740.1263692654 5130234.862733292 1184.978881835938, 289744.4404488555 5130234.636641963 1177.349731445313, 289743.9882661936 5130226.00848278 1176.135131835938, 289739.6741866035 5130226.234574112 1185.416625976563, 289740.1263692654 5130234.862733292 1184.978881835938))",30418.0,29912.938517179024,29824.0,29591.0,242.4688526428918
54,Coverage/Quad,User Created Features - Coverage/Quad,55,3314,"POLYGON Z ((289705.1615498825 5130228.043304757 1176.667358398438, 289709.4756294725 5130227.817213428 1177.091186523438, 289709.0234468106 5130219.189054247 1175.851806640625, 289704.7093672205 5130219.415145581 1175.3828125, 289705.1615498825 5130228.043304757 1176.667358398438))",30540.0,29909.670790585395,29975.5,29297.0,417.45910862325087
55,Coverage/Quad,User Created Features - Coverage/Quad,56,3318,"POLYGON Z ((289709.4756294725 5130227.817213428 1177.091186523438, 289713.7897090627 5130227.591122098 1186.791870117188, 289713.3375264006 5130218.962962917 1184.655639648438, 289709.0234468106 5130219.189054247 1175.851806640625, 289709.4756294725 5130227.817213428 1177.091186523438))",30569.0,30141.595539481616,30132.5,29726.0,251.07135191706203
56,Coverage/Quad,User Created Features - Coverage/Quad,57,3314,"POLYGON Z ((289713.7897090627 5130227.591122098 1186.791870117188, 289718.1037886528 5130227.365030767 1177.1064453125, 289717.6516059908 5130218.736871588 1176.485107421875, 289713.3375264006 5130218.962962917 1184.655639648438, 289713.7897090627 5130227.591122098 1186.791870117188))",30572.0,30227.843391671697,30338.0,29558.0,270.41967524663244
57,Coverage/Quad,User Created Features - Coverage/Quad,58,3314,"POLYGON Z ((289718.1037886528 5130227.365030767 1177.1064453125, 289722.4178682428 5130227.138939437 1176.582397460938, 289721.965685581 5130218.510780256 1184.385498046875, 289717.6516059908 5130218.736871588 1176.485107421875, 289718.1037886528 5130227.365030767 1177.1064453125))",30465.0,29965.775196137598,29940.0,29498.0,319.0289797146079
58,Coverage/Quad,User Created Features - Coverage/Quad,59,3321,"POLYGON Z ((289722.4178682428 5130227.138939437 1176.582397460938, 289726.7319478331 5130226.912848104 1176.837280273438, 289726.2797651712 5130218.284688924 1175.447143554688, 289721.965685581 5130218.510780256 1184.385498046875, 289722.4178682428 5130227.138939437 1176.582397460938))",30610.0,30272.762722071664,30338.0,29772.0,183.7342688483286
59,Coverage/Quad,User Created Features - Coverage/Quad,60,3317,"POLYGON Z ((289726.7319478331 5130226.912848104 1176.837280273438, 289731.0460274233 5130226.686756773 1178.181884765625, 289730.5938447613 5130218.058597594 1181.698486328125, 289726.2797651712 5130218.284688924 1175.447143554688, 289726.7319478331 5130226.912848104 1176.837280273438))",30608.0,30049.608984021706,30004.0,29649.0,273.67966474377437
60,Coverage/Quad,User Created Features - Coverage/Quad,61,3313,"POLYGON Z ((289731.0460274233 5130226.686756773 1178.181884765625, 289735.3601070133 5130226.460665443 1177.125366210938, 289734.9079243513 5130217.832506263 1175.666137695313, 289730.5938447613 5130218.058597594 1181.698486328125, 289731.0460274233 5130226.686756773 1178.181884765625))",30538.0,30225.111983096893,30317.0,29727.0,223.93317764769657
61,Coverage/Quad,User Created Features - Coverage/Quad,62,3318,"POLYGON Z ((289735.3601070133 5130226.460665443 1177.125366210938, 289739.6741866035 5130226.234574112 1185.416625976563, 289739.2220039415 5130217.606414931 1184.421997070313, 289734.9079243513 5130217.832506263 1175.666137695313, 289735.3601070133 5130226.460665443 1177.125366210938))",30563.0,30283.53285111513,30331.0,29844.0,193.27593506776682
62,Coverage/Quad,User Created Features - Coverage/Quad,63,3314,"POLYGON Z ((289739.6741866035 5130226.234574112 1185.416625976563, 289743.9882661936 5130226.00848278 1176.135131835938, 289743.5360835317 5130217.380323603 1175.216918945313, 289739.2220039415 5130217.606414931 1184.421997070313, 289739.6741866035 5130226.234574112 1185.416625976563))",30372.0,29876.513277006638,29805.5,29625.0,214.74817459057815
63,Coverage/Quad,User Created Features - Coverage/Quad,64,3314,"POLYGON Z ((289704.7093672205 5130219.415145581 1175.3828125, 289709.0234468106 5130219.189054247 1175.851806640625, 289708.5712641486 5130210.560895069 1174.614379882813, 289704.2571845585 5130210.786986398 1174.2939453125, 289704.7093672205 5130219.415145581 1175.3828125))",30300.0,29569.250452625227,29437.5,29302.0,274.2630494892158
64,Coverage/Quad,User Created Features - Coverage/Quad,65,3320,"POLYGON Z ((289709.0234468106 5130219.189054247 1175.851806640625, 289713.3375264006 5130218.962962917 1184.655639648438, 289712.8853437387 5130210.334803737 1183.963745117188, 289708.5712641486 5130210.560895069 1174.614379882813, 289709.0234468106 5130219.189054247 1175.851806640625))",30459.0,30160.187951807227,30240.5,29735.0,217.08330026151577
65,Coverage/Quad,User Created Features - Coverage/Quad,66,3317,"POLYGON Z ((289713.3375264006 5130218.962962917 1184.655639648438, 289717.6516059908 5130218.736871588 1176.485107421875, 289717.199423329 5130210.108712406 1175.001342773438, 289712.8853437387 5130210.334803737 1183.963745117188, 289713.3375264006 5130218.962962917 1184.655639648438))",30503.0,30168.188724751282,30233.0,29588.0,251.50589438530744
66,Coverage/Quad,User Created Features - Coverage/Quad,67,3315,"POLYGON Z ((289717.6516059908 5130218.736871588 1176.485107421875, 289721.965685581 5130218.510780256 1184.385498046875, 289721.5135029191 5130209.882621074 1184.419067382813, 289717.199423329 5130210.108712406 1175.001342773438, 289717.6516059908 5130218.736871588 1176.485107421875))",30506.0,30021.41116138763,30063.0,29473.0,364.9020102714693
67,Coverage/Quad,User Created Features - Coverage/Quad,68,3317,"POLYGON Z ((289721.965685581 5130218.510780256 1184.385498046875, 289726.2797651712 5130218.284688924 1175.447143554688, 289725.8275825093 5130209.656529745 1174.561279296875, 289721.5135029191 5130209.882621074 1184.419067382813, 289721.965685581 5130218.510780256 1184.385498046875))",30630.0,30148.4130238167,30226.0,29474.0,382.2056287473768
68,Coverage/Quad,User Created Features - Coverage/Quad,69,3313,"POLYGON Z ((289726.2797651712 5130218.284688924 1175.447143554688, 289730.5938447613 5130218.058597594 1181.698486328125, 289730.1416620993 5130209.430438413 1173.992309570313, 289725.8275825093 5130209.656529745 1174.561279296875, 289726.2797651712 5130218.284688924 1175.447143554688))",30630.0,30341.1657108361,30425.0,29784.0,246.5170027943146
69,Coverage/Quad,User Created Features - Coverage/Quad,70,3313,"POLYGON Z ((289730.5938447613 5130218.058597594 1181.698486328125, 289734.9079243513 5130217.832506263 1175.666137695313, 289734.4557416894 5130209.204347082 1174.310424804688, 289730.1416620993 5130209.430438413 1173.992309570313, 289730.5938447613 5130218.058597594 1181.698486328125))",30528.0,30097.50256565047,30085.0,29698.0,276.2202508743984
